type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15
0,0.008169399574398994,0.0071813552640378475,-0.02794647589325905,-0.015394728630781174,-0.012716292403638363,0.0007443559588864446,-0.004043715074658394,-0.005390006583184004,-0.00501624820753932,0.01961922086775303,-0.0072974166832864285,0.005035439971834421,0.011835855431854725,-0.004273813683539629,0.007542030420154333,0.010176251642405987
1,0.010780422948300838,0.006744436454027891,-0.006059614010155201,0.01636914350092411,0.020040681585669518,-0.011678623966872692,0.015863284468650818,0.027469146996736526,-0.011405032128095627,0.018965844064950943,0.013911677524447441,-0.03112945519387722,0.023160459473729134,0.008797683753073215,-0.019101405516266823,0.0017841089284047484
10,-0.011582554318010807,-0.011104571633040905,-0.00022337588598020375,0.02422456629574299,0.005390966311097145,0.02328724041581154,0.028778038918972015,0.017009299248456955,0.004166757687926292,0.03016182780265808,-0.03109942190349102,0.026330122724175453,-0.01036080252379179,-0.005391291342675686,-0.00755762355402112,-0.02634410746395588
100,0.0038954666815698147,0.018743470311164856,0.006635800935328007,-0.0062591503374278545,-0.026572799310088158,-0.022105736657977104,-0.009655323810875416,-0.011629057116806507,-0.02054440602660179,0.0024856342934072018,0.0016238283133134246,-0.002410382032394409,0.03065011091530323,-0.014001462608575821,0.009848917834460735,-0.009885472245514393
101,-0.025400565937161446,0.011330164037644863,0.014203358441591263,-0.02735399827361107,-0.009664960205554962,0.0058858622796833515,-0.0003326827718410641,0.011582489125430584,-0.024838898330926895,0.01762254349887371,0.013641683384776115,-0.02967207320034504,0.02147860825061798,0.017524374648928642,0.019709428772330284,0.015262635424733162
102,-0.012239916250109673,-0.007437305059283972,-0.003403600538149476,-0.013387933373451233,0.025145957246422768,0.0065689533948898315,-0.030042432248592377,0.0030871243216097355,-0.019304338842630386,0.02634240686893463,0.009737427346408367,-0.030485540628433228,-0.01553813461214304,-0.00786671508103609,-0.0033225840888917446,0.010602788999676704
103,0.0011715843575075269,0.0031098518520593643,-0.019107617437839508,0.01037257257848978,0.016268642619252205,0.0066713797859847546,0.0014456924982368946,0.022597767412662506,0.01598716527223587,0.019206661731004715,0.006093507632613182,0.025487635284662247,0.021929556503891945,0.006997799500823021,0.007281663361936808,-0.00042762415250763297
104,-0.02315744012594223,-0.00895546656101942,0.017211714759469032,-0.012888803146779537,-0.02685502916574478,0.007633817847818136,0.030768223106861115,0.025106599554419518,-0.02682279422879219,0.03004796989262104,-0.021105077117681503,0.015073481947183609,0.0008878593798726797,-0.015579808503389359,-0.02156783826649189,-0.007624347694218159
105,0.026605702936649323,-0.025116659700870514,-0.00903122778981924,0.005265506915748119,-0.014238596893846989,-0.025873428210616112,0.0058971974067389965,-0.008706092834472656,-0.009600228630006313,-0.006076308898627758,0.010268500074744225,-0.005151717457920313,-0.023391446098685265,0.0011275196447968483,0.022111205384135246,-0.01638239249587059
106,-0.007696995045989752,0.004707429092377424,-0.017971184104681015,-0.01983882114291191,-0.023538319393992424,-0.007459481246769428,-0.004871907643973827,-0.0038893581368029118,-0.014056758023798466,-0.008442453108727932,-0.013179789297282696,-0.022275490686297417,0.0036943673621863127,0.017944050952792168,0.009939756244421005,0.02236427366733551
107,-0.0282338485121727,0.015996459871530533,0.013280371204018593,-0.03110593929886818,-0.014518367126584053,0.01975982077419758,-0.027924304828047752,0.030658956617116928,0.025811361148953438,0.02898566983640194,-0.027057446539402008,-0.027270587161183357,-0.01567874290049076,-0.011101828888058662,0.0012490395456552505,-0.018105782568454742
108,-0.0018224972300231457,-0.020132223144173622,-0.01967848837375641,0.009201278910040855,-0.01177485566586256,0.029528670012950897,0.02417757734656334,0.023960530757904053,0.016630122438073158,-0.022522814571857452,0.020653212442994118,-0.0041585564613342285,-0.003962802235037088,0.023586979135870934,-0.014507941901683807,-0.014742458239197731
109,-0.022519338876008987,-0.010241365991532803,-0.014185475185513496,0.015728585422039032,-0.00843792874366045,-0.02606354095041752,-0.025310104712843895,-0.01727151684463024,0.00755193131044507,0.025859275832772255,-0.006230717990547419,0.017179153859615326,0.021510016173124313,-0.006852524355053902,0.02428426593542099,-0.014265515841543674
11,-0.0014006588608026505,0.021747637540102005,0.009994810447096825,-0.019724778831005096,-0.025387262925505638,0.02393655851483345,0.028920995071530342,-0.004762656055390835,0.006514100823551416,0.01541412714868784,0.018268929794430733,0.017313053831458092,-0.005939569789916277,0.027004022151231766,-0.017949333414435387,-0.029483672231435776
110,0.0012568117817863822,-0.009549456648528576,0.011593999341130257,-0.005893494933843613,0.017990635707974434,-0.009806955233216286,0.009147279895842075,0.010515469126403332,-0.031182952225208282,0.014782688580453396,0.013562913984060287,0.026875710114836693,0.016729580238461494,-0.025264130905270576,0.023560842499136925,-0.00023912203323561698
